시도명,명칭,경도,위도
강원,원포,128.791858,37.931442
강원,인구,128.762752,37.969306
강원,잔교,128.743369,37.99292
강원,정암,128.615755,38.139034
강원,죽도,128.759865,37.974211
강원,중광정,128.709739,38.034767
경남,구영,128.691105,35.031331
경남,구조라,128.692823,34.806878
경남,농소,128.70213,35.006743
경남,덕원,128.576709,34.778772
경남,덕포,128.711398,34.912122
경남,망치,128.666874,34.811677
경남,명사,128.603771,34.726652
경남,물안,128.652875,35.011024
경남,사곡,128.572971,34.899049
경남,여차,128.626501,34.7138
경남,옥계,128.630436,34.977797
경남,와현,128.707789,34.813013
경남,죽림,128.586265,34.83754
경남,학동,128.641413,34.774786
경남,함목,128.652622,34.73976
경남,황포,128.674863,35.02069
경남,흥남,128.715113,34.960063
경남,두곡월포,127.907466,34.768279
경남,사촌,127.856123,34.741926
경남,상주은모래비치,127.988089,34.72073
경남,송정솔바람,128.024114,34.721616
경남,남일대,128.096475,34.926702
경남,대항,128.212953,34.850928
경남,비진,128.460025,34.720006
경남,통영공설,128.439703,34.819634
경북,관성솔밭,129.451999,35.659864
경북,나정고운모래,129.491279,35.783249
경북,봉길대왕암,129.48406,35.739385
경북,오류고아라,129.509459,35.822149
경북,전촌솔밭,129.49134,35.786945
경북,경정,129.432861,35.481534
경북,고래불,129.412155,36.598785
경북,남호,129.379984,36.32758
경북,대진,129.426675,36.565298
경북,오보,129.432838,36.441238
경북,장사,129.376064,36.282274
경북,하저,129.408193,36.389584
경북,구산,129.468264,36.752803
경북,기성망양,129.434534,36.842795
경북,나곡,129.371426,37.126398
경북,망양정,129.413086,36.968856
경북,봉평,129.413216,37.043793
경북,후정,129.413641,37.072053
경북,후포,129.442662,36.675178
경북,구룡포,129.566197,35.996968
경북,도구,129.443563,35.992065
경북,영일대,129.378129,36.055236
경북,월포,129.37139,36.203115
경북,칠포,129.400745,36.131716
경북,화진,129.373763,36.252513
부산,일광,129.233693,35.261626
부산,임랑,129.26439,35.318972
부산,다대포,128.964082,35.045957
부산,송도,129.017834,35.076209
부산,광안리,129.11755,35.152134
부산,송정,129.199542,35.1787
부산,해운대,129.161629,35.15875
울산,일산,129.431157,35.494196
울산,진하,129.345911,35.383449
전남,금장,127.163005,34.434171
전남,나로우주,127.469146,34.467425
전남,남열해돋이,127.487205,34.580486
전남,대전,127.272262,34.713732
전남,덕흥,127.458821,34.527449
전남,발포,127.356183,34.491591
전남,연소,127.116389,34.447612
전남,염포,127.492197,34.432476
전남,용동,127.18113,34.631135
전남,익금,127.145644,34.429932
전남,풍류,127.22952,34.66417
전남,외달도,126.29719,34.781866
전남,톱머리,126.386218,34.968184
전남,홀통,126.337543,35.062311
전남,율포솔밭,127.089731,34.669997
전남,대광,126.073771,35.10421
전남,돈목,125.827824,34.608916
전남,배낭기미,125.426538,34.689068
전남,백길,126.039477,34.849472
전남,분계,125.982168,34.870525
전남,시목,125.953942,34.672599
전남,신도,125.973588,34.588205
전남,우전,126.136643,34.971371
전남,원평,125.921914,34.776015
전남,짱뚱어,126.133925,34.990149
전남,추포,126.066763,34.80533
전남,하트,125.894686,34.751349
전남,홍도,125.190768,34.684973
전남,거문도,127.304132,34.019991
전남,만성리검은모래,127.745714,34.779548
전남,모사금,127.756146,34.796349
전남,무술목,127.7764,34.683742
전남,방죽포,127.793569,34.63074
전남,안도,127.812786,34.49052
전남,장등,127.610383,34.644931
전남,웅천,127.667997,34.746917
전남,가마미,126.408538,35.398868
전남,송이도,126.151163,35.274306
전남,금일명사십리,127.061123,34.333063
전남,보길중리은모래,126.589975,34.162933
전남,보길통리,126.578581,34.1575
전남,생일금곡,126.963556,34.312041
전남,신지동고,126.880006,34.329046
전남,신지명사십리,126.80883,34.326937
전남,약산가사동백숲,126.928077,34.370418
전남,보길예송,126.562904,34.140457
전남,청산신흥,126.907975,34.183581
전남,청산지리청송,126.862054,34.196555
전남,안양수문,127.034933,34.635285
전남,가계,126.355389,34.435569
전남,관매도,126.050277,34.240391
전남,신전,126.073318,34.283968
전남,금갑,126.277775,34.395502
전남,돌머리,126.440576,35.086757
전남,땅끝송호,126.518598,34.315187
전남,사구미,126.580856,34.32046
전남,송평,126.471201,34.435597
전북,구시포,126.435585,35.445761
전북,동호,126.483121,35.517586
전북,선유도,126.412209,35.819589
전북,격포,126.470079,35.628952
전북,고사포,126.504752,35.660032
전북,모항,126.507464,35.582377
전북,변산,126.530026,35.67941
전북,위도,126.282983,35.6035
충남,난지섬,126.423538,37.047102
충남,왜목마을,126.527126,37.045
충남,대천,126.513182,36.310454
충남,무창포,126.536648,36.245611
충남,춘장대,126.523262,36.163891
충남,갈음이,126.152227,36.69675
충남,곰섬,126.289959,36.588914
충남,구례포,126.198056,36.886903
충남,구름포,126.153673,36.837666
충남,기지포,126.323032,36.560412
충남,꽃지,126.336046,36.497209
충남,꾸지나무꼴,126.292612,36.935309
충남,달산포,126.295976,36.654146
충남,두여,126.329551,36.542128
충남,마검포,126.2883,36.614683
충남,만리포,126.144335,36.788032
충남,몽산포,126.286725,36.669982
충남,바람아래,126.377094,36.412252
충남,밧개,126.330699,36.530833
충남,방주골,126.154967,36.812134
충남,방포,126.332586,36.509481
충남,백사장,126.313998,36.579008
충남,삼봉,126.316998,36.568375
충남,샛별,126.335153,36.449184
충남,신두리,126.184719,36.837418
충남,안면,126.328613,36.549541
충남,어은돌,126.129596,36.752852
충남,연포,126.209199,36.693517
충남,의항,126.160668,36.827573
충남,장삼포,126.360599,36.422364
충남,천리포,126.150398,36.802542
충남,청포대,126.301091,36.639995
충남,통개,126.145167,36.72958
충남,파도리,126.134261,36.74087
충남,학암포,126.203471,36.898105
제주,신양섭지코지,126.923021,33.434809
제주,중문색달,126.411482,33.245125
제주,표선해비치,126.837355,33.327998
제주,화순금모래,126.333709,33.239967
제주,곽지과물,126.304716,33.450627
제주,금능으뜸원,126.235091,33.389768
제주,김녕성세기,126.759463,33.557734
제주,삼양검은모래,126.585804,33.526016
제주,이호테우,126.451821,33.497263
제주,함덕서우봉,126.669279,33.543276
제주,협재,126.23921,33.394103
